gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446885412e-03,2.214041970068620843e-03
-1.803641037644326776e-05,3.543207806477197564e-03,2.214041981222453041e-03
-1.803641037592986754e-05,3.543207799507509716e-03,2.214041992376285239e-03
-1.803641037541646393e-05,3.543207792537821869e-03,2.214042003530117004e-03
-1.803641037490306371e-05,3.543207785568134021e-03,2.214042014683948768e-03
-1.803641037438966348e-05,3.543207778598446173e-03,2.214042025837780966e-03
-1.803641037387626665e-05,3.543207771628758326e-03,2.214042036991613165e-03
-1.803641037336286304e-05,3.543207764659069611e-03,2.214042048145444495e-03
-1.803641037284946282e-05,3.543207757689381763e-03,2.214042059299276693e-03
-1.803641037233606260e-05,3.543207750719693915e-03,2.214042070453108458e-03
-1.803641037182266238e-05,3.543207743750005200e-03,2.214042081606940656e-03
-1.803641037130925877e-05,3.543207736780317352e-03,2.214042092760771987e-03
-1.803641037079585516e-05,3.543207729810629505e-03,2.214042103914603751e-03
-1.803641037028245832e-05,3.543207722840941223e-03,2.214042115068435949e-03
-1.803641036976905471e-05,3.543207715871252508e-03,2.214042126222267714e-03
-1.803641036925565788e-05,3.543207708901564661e-03,2.214042137376099478e-03
-1.803641036874225088e-05,3.543207701931875946e-03,2.214042148529931243e-03
-1.803641036822885405e-05,3.543207694962187231e-03,2.214042159683763007e-03
-1.803641036771545382e-05,3.543207687992498515e-03,2.214042170837594338e-03
-1.803641036720205360e-05,3.543207681022810234e-03,2.214042181991426102e-03
-1.803641036668864999e-05,3.543207674053122386e-03,2.214042193145257867e-03
-1.803641036617524977e-05,3.543207667083433671e-03,2.214042204299089198e-03
-1.803641036566184955e-05,3.543207660113744956e-03,2.214042215452920528e-03
-1.803641036514844933e-05,3.543207653144056241e-03,2.214042226606751859e-03
-1.803641036463505249e-05,3.543207646174367960e-03,2.214042237760583624e-03
-1.803641036412164549e-05,3.543207639204679245e-03,2.214042248914415388e-03
-1.803641036360824866e-05,3.543207632234990530e-03,2.214042260068246285e-03
-1.803641036309484505e-05,3.543207625265301815e-03,2.214042271222078050e-03
-1.803641036258144822e-05,3.543207618295613100e-03,2.214042282375909380e-03
-1.803641036206804122e-05,3.543207611325923951e-03,2.214042293529741145e-03
-1.803641036155464100e-05,3.543207604356235236e-03,2.214042304683572476e-03
-1.803641036104124078e-05,3.543207597386546521e-03,2.214042315837403806e-03
-1.803641036052784055e-05,3.543207590416857806e-03,2.214042326991235137e-03
-1.803641036001443694e-05,3.543207583447168657e-03,2.214042338145066034e-03
-1.803641035950103672e-05,3.543207576477479942e-03,2.214042349298897799e-03
-1.803641035898763650e-05,3.543207569507790360e-03,2.214042360452729129e-03
-1.803641035847423628e-05,3.543207562538101211e-03,2.214042371606560460e-03
-1.803641035796083606e-05,3.543207555568412496e-03,2.214042382760391357e-03
-1.803641035744743245e-05,3.543207548598723781e-03,2.214042393914222688e-03
-1.803641035693403222e-05,3.543207541629034632e-03,2.214042405068053585e-03
-1.803641035642063200e-05,3.543207534659345050e-03,2.214042416221884916e-03
-1.803641035590723517e-05,3.543207527689655901e-03,2.214042427375716247e-03
-1.803641035539383156e-05,3.543207520719967186e-03,2.214042438529547144e-03
-1.803641035488043134e-05,3.543207513750277603e-03,2.214042449683378475e-03
-1.803641035436703111e-05,3.543207506780588455e-03,2.214042460837209372e-03
-1.803641035385363089e-05,3.543207499810898872e-03,2.214042471991040702e-03
-1.803641035334022728e-05,3.543207492841209724e-03,2.214042483144871599e-03
-1.803641035282682367e-05,3.543207485871520141e-03,2.214042494298702930e-03
-1.803641035231342684e-05,3.543207478901830559e-03,2.214042505452533394e-03
-1.803641035180002323e-05,3.543207471932141410e-03,2.214042516606364291e-03
-1.803641035128662640e-05,3.543207464962451828e-03,2.214042527760195622e-03
-1.803641035077321940e-05,3.543207457992762679e-03,2.214042538914026519e-03
-1.803641035025982256e-05,3.543207451023072229e-03,2.214042550067856982e-03
-1.803641034974642234e-05,3.543207444053383080e-03,2.214042561221688313e-03
-1.803641034923302212e-05,3.543207437083692631e-03,2.214042572375518776e-03
-1.803641034871961851e-05,3.543207430114003482e-03,2.214042583529349673e-03
-1.803641034820621829e-05,3.543207423144313899e-03,2.214042594683181004e-03
-1.803641034769282145e-05,3.543207416174623883e-03,2.214042605837011467e-03
-1.803641034717941784e-05,3.543207409204933434e-03,2.214042616990842365e-03
-1.803641034666601762e-05,3.543207402235244285e-03,2.214042628144673262e-03
-1.803641034615261401e-05,3.543207395265553835e-03,2.214042639298503725e-03
-1.803641034563921379e-05,3.543207388295864686e-03,2.214042650452334188e-03
-1.803641034512581357e-05,3.543207381326174670e-03,2.214042661606165086e-03
-1.803641034461240996e-05,3.543207374356484220e-03,2.214042672759995983e-03
-1.803641034409900974e-05,3.543207367386794204e-03,2.214042683913826446e-03
-1.803641034358560952e-05,3.543207360417104622e-03,2.214042695067656909e-03
-1.803641034307220929e-05,3.543207353447414606e-03,2.214042706221487373e-03
-1.803641034255880568e-05,3.543207346477724156e-03,2.214042717375318270e-03
-1.803641034204540546e-05,3.543207339508033273e-03,2.214042728529149167e-03
-1.803641034153200524e-05,3.543207332538344124e-03,2.214042739682979197e-03
-1.803641034101860502e-05,3.543207325568653674e-03,2.214042750836809660e-03
-1.803641034050520818e-05,3.543207318598962791e-03,2.214042761990640124e-03
-1.803641033999180457e-05,3.543207311629272774e-03,2.214042773144470587e-03
-1.803641033947840096e-05,3.543207304659582325e-03,2.214042784298301050e-03
-1.803641033896500413e-05,3.543207297689892309e-03,2.214042795452131514e-03
